,2005_hit_counter,2005_hit_total,2005_percentage,2006_hit_counter,2006_hit_total,2006_percentage,2007_hit_counter,2007_hit_total,2007_percentage,2008_hit_counter,2008_hit_total,2008_percentage,2009_hit_counter,2009_hit_total,2009_percentage,2010_hit_counter,2010_hit_total,2010_percentage,2011_hit_counter,2011_hit_total,2011_percentage,2012_hit_counter,2012_hit_total,2012_percentage,2013_hit_counter,2013_hit_total,2013_percentage,2014_hit_counter,2014_hit_total,2014_percentage,2015_hit_counter,2015_hit_total,2015_percentage,2016_hit_counter,2016_hit_total,2016_percentage
strategy_6,131.0,174.0,0.7528735632183908,119.0,174.0,0.6839080459770115,122.0,175.0,0.6971428571428572,120.0,178.0,0.6741573033707865,124.0,175.0,0.7085714285714285,121.0,174.0,0.6954022988505747,127.0,173.0,0.7341040462427746,120.0,175.0,0.6857142857142857,138.0,174.0,0.7931034482758621,118.0,175.0,0.6742857142857143,122.0,173.0,0.7052023121387283,120.0,173.0,0.6936416184971098
strategy_7,127.0,174.0,0.7298850574712644,126.0,174.0,0.7241379310344828,130.0,175.0,0.7428571428571429,136.0,178.0,0.7640449438202247,132.0,175.0,0.7542857142857143,129.0,174.0,0.7413793103448276,125.0,173.0,0.7225433526011561,124.0,175.0,0.7085714285714285,118.0,174.0,0.6781609195402298,121.0,175.0,0.6914285714285714,118.0,173.0,0.6820809248554913,120.0,173.0,0.6936416184971098
strategy_8,133.0,174.0,0.764367816091954,136.0,174.0,0.7816091954022989,142.0,175.0,0.8114285714285714,142.0,178.0,0.797752808988764,148.0,175.0,0.8457142857142858,136.0,174.0,0.7816091954022989,125.0,173.0,0.7225433526011561,126.0,175.0,0.72,119.0,174.0,0.6839080459770115,127.0,175.0,0.7257142857142858,119.0,173.0,0.6878612716763006,121.0,173.0,0.6994219653179191
strategy_9,141.0,174.0,0.8103448275862069,133.0,174.0,0.764367816091954,143.0,175.0,0.8171428571428572,143.0,178.0,0.8033707865168539,149.0,175.0,0.8514285714285714,134.0,174.0,0.7701149425287356,125.0,173.0,0.7225433526011561,128.0,175.0,0.7314285714285714,123.0,174.0,0.7068965517241379,121.0,175.0,0.6914285714285714,128.0,173.0,0.7398843930635838,126.0,173.0,0.7283236994219653
strategy_10,133.0,174.0,0.764367816091954,135.0,174.0,0.7758620689655172,136.0,175.0,0.7771428571428571,130.0,178.0,0.7303370786516854,146.0,175.0,0.8342857142857143,136.0,174.0,0.7816091954022989,123.0,173.0,0.7109826589595376,128.0,175.0,0.7314285714285714,124.0,174.0,0.7126436781609196,122.0,175.0,0.6971428571428572,129.0,173.0,0.7456647398843931,119.0,173.0,0.6878612716763006
