n_years,hit_counter,total_counter,percentage,CI
12.0,1316.0,1793.0,0.7339654210819855,95.0
12.0,1342.0,1793.0,0.7484662576687117,95.0
12.0,1372.0,1793.0,0.7651979921918572,95.0
12.0,1387.0,1793.0,0.77356385945343,95.0
12.0,1326.0,1793.0,0.739542665923034,95.0
