2005_hit_counter,2005_hit_total,2005_percentage,2006_hit_counter,2006_hit_total,2006_percentage,2007_hit_counter,2007_hit_total,2007_percentage,2008_hit_counter,2008_hit_total,2008_percentage,2009_hit_counter,2009_hit_total,2009_percentage,2010_hit_counter,2010_hit_total,2010_percentage,2011_hit_counter,2011_hit_total,2011_percentage,2012_hit_counter,2012_hit_total,2012_percentage,2013_hit_counter,2013_hit_total,2013_percentage,2014_hit_counter,2014_hit_total,2014_percentage,2015_hit_counter,2015_hit_total,2015_percentage,2016_hit_counter,2016_hit_total,2016_percentage
118.0,149.0,0.7919463087248322,109.0,149.0,0.7315436241610739,119.0,150.0,0.7933333333333333,114.0,153.0,0.7450980392156863,115.0,150.0,0.7666666666666667,108.0,149.0,0.7248322147651006,97.0,148.0,0.6554054054054054,106.0,150.0,0.7066666666666667,112.0,149.0,0.7516778523489933,109.0,150.0,0.7266666666666667,95.0,148.0,0.6418918918918919,114.0,148.0,0.7702702702702703
114.0,149.0,0.7651006711409396,120.0,149.0,0.8053691275167785,115.0,150.0,0.7666666666666667,116.0,153.0,0.7581699346405228,119.0,150.0,0.7933333333333333,110.0,149.0,0.738255033557047,103.0,148.0,0.6959459459459459,111.0,150.0,0.74,101.0,149.0,0.6778523489932886,110.0,150.0,0.7333333333333333,111.0,148.0,0.75,112.0,148.0,0.7567567567567568
114.0,149.0,0.7651006711409396,111.0,149.0,0.7449664429530202,122.0,150.0,0.8133333333333334,119.0,153.0,0.7777777777777778,116.0,150.0,0.7733333333333333,113.0,149.0,0.7583892617449665,110.0,148.0,0.7432432432432432,120.0,150.0,0.8,104.0,149.0,0.697986577181208,118.0,150.0,0.7866666666666666,114.0,148.0,0.7702702702702703,111.0,148.0,0.75
123.0,149.0,0.825503355704698,118.0,149.0,0.7919463087248322,118.0,150.0,0.7866666666666666,119.0,153.0,0.7777777777777778,122.0,150.0,0.8133333333333334,114.0,149.0,0.7651006711409396,110.0,148.0,0.7432432432432432,114.0,150.0,0.76,111.0,149.0,0.7449664429530202,114.0,150.0,0.76,116.0,148.0,0.7837837837837838,108.0,148.0,0.7297297297297297
114.0,149.0,0.7651006711409396,115.0,149.0,0.7718120805369127,114.0,150.0,0.76,119.0,153.0,0.7777777777777778,124.0,150.0,0.8266666666666667,100.0,149.0,0.6711409395973155,114.0,148.0,0.7702702702702703,111.0,150.0,0.74,106.0,149.0,0.7114093959731543,105.0,150.0,0.7,97.0,148.0,0.6554054054054054,107.0,148.0,0.722972972972973
