,2005_hit_counter,2005_hit_total,2005_percentage,2006_hit_counter,2006_hit_total,2006_percentage,2007_hit_counter,2007_hit_total,2007_percentage,2008_hit_counter,2008_hit_total,2008_percentage,2009_hit_counter,2009_hit_total,2009_percentage,2010_hit_counter,2010_hit_total,2010_percentage,2011_hit_counter,2011_hit_total,2011_percentage,2012_hit_counter,2012_hit_total,2012_percentage,2013_hit_counter,2013_hit_total,2013_percentage,2014_hit_counter,2014_hit_total,2014_percentage,2015_hit_counter,2015_hit_total,2015_percentage,2016_hit_counter,2016_hit_total,2016_percentage
strategy_1,118.0,150.0,0.7866666666666666,110.0,150.0,0.7333333333333333,120.0,151.0,0.7947019867549668,114.0,154.0,0.7402597402597403,116.0,151.0,0.7682119205298014,109.0,150.0,0.7266666666666667,98.0,149.0,0.6577181208053692,106.0,151.0,0.7019867549668874,113.0,150.0,0.7533333333333333,110.0,151.0,0.7284768211920529,96.0,149.0,0.6442953020134228,115.0,149.0,0.7718120805369127
strategy_2,115.0,150.0,0.7666666666666667,121.0,150.0,0.8066666666666666,116.0,151.0,0.7682119205298014,116.0,154.0,0.7532467532467533,120.0,151.0,0.7947019867549668,111.0,150.0,0.74,104.0,149.0,0.697986577181208,111.0,151.0,0.7350993377483444,102.0,150.0,0.68,111.0,151.0,0.7350993377483444,112.0,149.0,0.7516778523489933,113.0,149.0,0.7583892617449665
strategy_3,115.0,150.0,0.7666666666666667,112.0,150.0,0.7466666666666667,123.0,151.0,0.8145695364238411,119.0,154.0,0.7727272727272727,117.0,151.0,0.7748344370860927,114.0,150.0,0.76,111.0,149.0,0.7449664429530202,121.0,151.0,0.8013245033112583,105.0,150.0,0.7,119.0,151.0,0.7880794701986755,115.0,149.0,0.7718120805369127,112.0,149.0,0.7516778523489933
strategy_4,124.0,150.0,0.8266666666666667,119.0,150.0,0.7933333333333333,119.0,151.0,0.7880794701986755,119.0,154.0,0.7727272727272727,123.0,151.0,0.8145695364238411,115.0,150.0,0.7666666666666667,111.0,149.0,0.7449664429530202,115.0,151.0,0.7615894039735099,112.0,150.0,0.7466666666666667,115.0,151.0,0.7615894039735099,117.0,149.0,0.785234899328859,108.0,149.0,0.7248322147651006
strategy_5,115.0,150.0,0.7666666666666667,116.0,150.0,0.7733333333333333,115.0,151.0,0.7615894039735099,119.0,154.0,0.7727272727272727,125.0,151.0,0.8278145695364238,101.0,150.0,0.6733333333333333,115.0,149.0,0.7718120805369127,112.0,151.0,0.7417218543046358,107.0,150.0,0.7133333333333334,106.0,151.0,0.7019867549668874,98.0,149.0,0.6577181208053692,107.0,149.0,0.7181208053691275
